idno,stflife,gndr,cntry
16414,5,2,BG
16415,5,1,BG
16418,7,1,BG
16424,7,1,BG
16425,7,1,BG
16433,5,2,BG
16440,4,1,BG
16451,8,1,BG
16452,10,1,BG
16454,8,2,BG
16458,8,2,BG
16464,7,1,BG
16467,5,2,BG
16482,10,1,BG
16488,9,1,BG
16493,1,2,BG
16504,8,2,BG
16513,6,1,BG
16525,5,1,BG
16535,7,2,BG
16537,8,2,BG
16539,7,1,BG
16548,5,1,BG
16555,9,2,BG
16557,7,2,BG
16560,10,2,BG
16568,5,2,BG
16578,4,1,BG
16579,6,1,BG
16584,6,1,BG
16585,9,1,BG
16595,8,2,BG
16601,5,2,BG
16632,8,2,BG
16634,8,1,BG
16643,5,1,BG
16647,2,1,BG
16650,8,1,BG
16653,8,2,BG
16658,8,2,BG
16659,2,2,BG
16663,5,2,BG
16665,5,2,BG
16669,7,1,BG
16673,7,1,BG
16683,9,1,BG
16686,3,2,BG
16687,6,2,BG
16689,5,1,BG
16691,7,2,BG
16712,7,2,BG
16717,6,1,BG
16718,10,2,BG
16719,7,2,BG
16725,7,1,BG
16747,4,1,BG
16750,8,1,BG
16751,8,1,BG
16752,4,2,BG
16761,10,1,BG
16769,4,2,BG
16773,8,2,BG
16780,2,2,BG
16782,5,2,BG
16792,7,1,BG
16806,9,1,BG
16807,8,1,BG
16830,2,2,BG
16837,8,2,BG
16844,6,2,BG
16851,5,2,BG
16882,2,2,BG
16884,4,2,BG
16896,5,2,BG
16897,6,2,BG
16899,6,2,BG
16905,7,1,BG
16907,9,2,BG
16925,5,1,BG
16928,8,2,BG
16931,8,1,BG
16942,1,1,BG
16943,5,2,BG
16948,3,2,BG
16950,7,1,BG
16951,5,2,BG
16960,7,2,BG
16966,10,1,BG
16979,6,1,BG
16984,4,2,BG
16997,6,1,BG
16999,10,1,BG
17001,4,1,BG
17007,5,1,BG
17020,9,1,BG
17024,8,2,BG
17027,3,1,BG
17030,8,2,BG
17040,4,2,BG
17061,7,1,BG
17065,7,2,BG
17074,9,2,BG
17076,5,2,BG
17086,7,1,BG
17090,2,2,BG
17092,6,1,BG
17094,3,1,BG
17105,2,1,BG
17107,3,2,BG
17126,3,1,BG
17129,5,2,BG
17132,3,1,BG
17136,4,2,BG
17182,8,2,BG
17187,6,1,BG
17188,4,1,BG
17196,3,1,BG
17209,6,2,BG
17215,4,1,BG
17219,9,2,BG
17223,7,2,BG
17225,9,1,BG
17229,7,2,BG
17241,7,2,BG
17243,3,1,BG
17244,8,2,BG
17251,5,2,BG
17258,8,1,BG
17259,10,1,BG
17269,7,2,BG
17270,5,2,BG
17274,8,1,BG
17280,5,1,BG
17288,6,1,BG
17317,7,1,BG
17319,3,1,BG
17325,7,2,BG
17326,10,1,BG
17330,6,2,BG
17354,5,2,BG
17357,5,2,BG
17366,5,2,BG
17367,7,2,BG
17371,3,2,BG
17375,7,1,BG
17378,0,2,BG
17382,8,1,BG
17401,5,2,BG
17411,3,1,BG
17413,2,2,BG
17416,5,2,BG
17428,8,2,BG
17429,7,2,BG
17444,8,1,BG
17455,9,1,BG
17457,7,1,BG
17472,8,1,BG
17473,7,2,BG
17476,7,1,BG
17479,9,2,BG
17484,5,1,BG
17486,3,2,BG
17489,10,2,BG
17492,9,1,BG
17499,8,1,BG
17502,6,1,BG
17529,3,1,BG
17533,5,1,BG
17535,4,1,BG
17536,2,1,BG
17539,7,1,BG
17541,0,2,BG
17552,0,2,BG
17555,5,1,BG
17560,5,2,BG
17566,4,2,BG
17582,6,1,BG
17590,5,1,BG
17592,8,1,BG
17598,7,1,BG
17610,8,2,BG
17613,6,2,BG
17614,8,2,BG
17615,9,1,BG
17630,5,2,BG
17635,8,2,BG
17638,10,2,BG
17640,7,1,BG
17642,6,2,BG
17649,5,2,BG
17664,7,1,BG
17666,6,2,BG
17675,3,2,BG
17686,6,1,BG
17687,3,1,BG
17691,6,2,BG
17694,6,1,BG
17697,5,2,BG
17702,7,2,BG
17707,10,2,BG
17720,7,2,BG
17729,10,2,BG
17731,4,2,BG
17732,8,1,BG
17740,8,2,BG
17746,7,1,BG
17747,3,1,BG
17750,10,1,BG
17757,7,1,BG
17762,7,2,BG
17781,8,2,BG
17785,7,1,BG
17795,7,2,BG
17796,6,1,BG
17819,4,1,BG
17833,7,2,BG
17839,3,1,BG
17840,7,2,BG
17859,8,1,BG
17866,6,2,BG
17867,9,2,BG
17869,NA,2,BG
17872,10,2,BG
17877,NA,2,BG
17885,5,2,BG
17894,6,2,BG
17903,1,2,BG
17909,3,1,BG
17913,6,1,BG
17914,7,1,BG
17923,4,2,BG
17934,NA,2,BG
17935,9,2,BG
17938,4,2,BG
17944,5,1,BG
17951,3,1,BG
17962,2,1,BG
17964,9,1,BG
17965,3,2,BG
17969,NA,2,BG
17972,5,2,BG
17980,7,1,BG
17981,6,2,BG
17992,4,2,BG
18002,10,2,BG
18009,0,1,BG
18011,6,1,BG
18022,8,2,BG
18026,9,2,BG
18027,3,1,BG
18032,7,1,BG
18036,8,2,BG
18052,0,1,BG
18059,7,1,BG
18063,5,1,BG
18068,6,2,BG
18074,7,2,BG
18076,9,1,BG
18079,6,1,BG
18082,8,1,BG
18087,7,1,BG
18089,5,2,BG
18090,10,2,BG
18091,9,1,BG
18101,7,2,BG
18109,8,1,BG
18118,6,2,BG
18121,7,1,BG
18136,2,2,BG
18142,0,2,BG
